
College_Name,State
Indian Institute of Technology Madras,Tamil nadu
"College of Engineering, Anna University ",Tamil nadu
"NIT Trichy, Tiruchirappalli ",Tamil nadu
Vellore Institute of Technology,Tamil nadu
"SRM Engineering College, Kanchipuram ",Tamil nadu
SSN College of Engineering,Tamil nadu
"SASTRA University, Thanjavur ",Tamil nadu
P.S.G College of Technology,Tamil nadu
Thiagarajar College of Engineering,Tamil nadu
Coimbatore Institute of Technology,Tamil nadu
Karunya Institute of Technology and Sciences,Tamil nadu
Kumaraguru College of Technology,Tamil nadu
"VEL Tech, Chennai ",Tamil nadu
"Mepco Schlenk Engineering College, Sivakasi ",Tamil nadu
Government College of Technology,Tamil nadu
Hindustan Institute of Technology and Science,Tamil nadu
Sri Krishna College of Engineering and Technology,Tamil nadu
Kongu Engineering College,Tamil nadu
Bannari Amman Institute of Technology,Tamil nadu
"Sona College of Technology, Salem ",Tamil nadu
Tamil Nadu Veterinary and Animal Sciences University,Tamil nadu
"St. Joseph College Of Engineering, Kanchipuram ",Tamil nadu
Saveetha Engineering College,Tamil nadu
"Sri Sairam Engineering College, Chennai ",Tamil nadu
B.S. Abdur Rahman Crescent Institute of Science,Tamil nadu
Sri Ramakrishna Engineering College,Tamil nadu
Rajalakshmi Engineering College,Tamil nadu
Sri Venkateswara College of Engineering,Tamil nadu
Sri Eshwar College of Engineering,Tamil nadu
IIT Bombay,Maharashtra
Institute of Chemical Technology,Maharashtra
Visvesvaraya National Institute of Technology,Maharashtra
College of Engineering,Maharashtra
Defence Institute of Advanced Technology,Maharashtra
National Institute of Industrial Engineering,Maharashtra
Army Institute of Technology,Maharashtra
Bharati Vidyapeeth Deemed University,Maharashtra
Veermata Jijabai Technological Institute,Maharashtra
GH Raisoni College of Engineering,Maharashtra
Mukesh Patel School of Technology Management and,Maharashtra
Sardar Patel Institute of Technology,Maharashtra
Shri Ramdeobaba College of Engineering and Management,Maharashtra
Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra
Yeshwantrao Chavan College of Engineering,Maharashtra
Walchand College of Engineering,Maharashtra
MIT World Peace University,Maharashtra
Vishwakarma Institute of Information Technology,Maharashtra
Ramrao Adik Institute of Technology,Maharashtra
Sardar Patel College of Engineering,Maharashtra
K. J. Somaiya College of Engineering,Maharashtra
Pimpri Chinchwad College of Engineering,Maharashtra
"MKSSS's Cummins College of Engineering for Women, ",Maharashtra
Dwarkadas J Sanghvi College of Engineering,Maharashtra
Thakur College of Engineering and Technology,Maharashtra
SVKM's Narsee Monjee Institute of Management Studies,Maharashtra
"Amity University, Mumbai ",Maharashtra
"Vishwakarma Institute of Technology, Pune ",Maharashtra
Indian Institute of Information Technology,Maharashtra
Tata Institute of Social Sciences,Maharashtra
Indian Institute of Technology,Uttar pradesh
Indian Institute of Technology,Uttar pradesh
"Amity University, Noida ",Uttar pradesh
Aligarh Muslim University,Uttar pradesh
MNNIT Allahabad,Uttar pradesh
Jaypee Institute of Information Technology University,Uttar pradesh
Indian Institute of Information Technology,Uttar pradesh
"Dayalbagh Educational Institute Faculty of Engineering, Agra ",Uttar pradesh
Sharda University,Uttar pradesh
Galgotias University,Uttar pradesh
"Bennett University, Greater Noida ",Uttar pradesh
Shiv Nadar University,Uttar pradesh
"Integral University, Lucknow ",Uttar pradesh
J.S. University,Uttar pradesh
"GLA University, Mathura ",Uttar pradesh
Institute of Engineering and Technology,Uttar pradesh
Sanskriti University,Uttar pradesh
"Monad University, Hapur ",Uttar pradesh
Indian Institute of Information Technology,Uttar pradesh
"IFTM University, Moradabad ",Uttar pradesh
"Shobhit University, Meerut ",Uttar pradesh
"Glocal University, Saharanpur ",Uttar pradesh
"Rama University, Kanpur ",Uttar pradesh
Noida Institute of Engineering and Technology,Uttar pradesh
"ABES Engineering College, Ghaziabad ",Uttar pradesh
Bundelkhand Institute of Engineering & Technology,Uttar pradesh
Harcourt Butler Technological University,Uttar pradesh
Rajiv Gandhi Institute of Petroleum Technology,Uttar pradesh
Indian Institute of Technology,Delhi ncr
"Jamia Millia Islamia University-[JMI], New Delhi ",Delhi ncr
Delhi Technological University,Delhi ncr
"Amity University, Noida ",Delhi ncr
Indraprastha Institute of Information Technology,Delhi ncr
Guru Gobind Singh Indraprastha University,Delhi ncr
Jaypee Institute of Information Technology University,Delhi ncr
National Institute of Food Technology Entrepreneurship and,Delhi ncr
"School of Engineering and Technology, NCU ",Delhi ncr
"J.C. Bose University Of Science And Technology, ",Delhi ncr
Indira Gandhi Delhi Technical University For Women,Delhi ncr
Manav Rachna International Institute Of Research And,Delhi ncr
Sharda University,Delhi ncr
Galgotias University,Delhi ncr
